Time, PositionX, PositionY, PositionZ, PositionRX, PositionRY, PositionRZ, PositionJ1, PositionJ2, PositionJ3, PositionJ4, PositionJ5, PositionJ6
2024-11-07 16:41:42.854, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:43.364, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:43.875, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:44.386, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:44.898, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:45.409, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:45.920, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:46.431, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:46.943, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:47.453, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:47.957, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:48.475, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:48.987, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:49.487, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:50.001, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:50.513, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:51.033, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:51.539, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:52.045, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:52.557, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:53.069, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:53.583, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:54.098, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:54.601, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:55.121, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:55.632, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:56.132, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:56.642, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
2024-11-07 16:41:57.154, -92.97, -274.2, 297.3, -8, -173.14, 19.04, 42.83, -104.81, 110, -108.23, -85.08, -41.49
